Nombre_Empresa,Id_Empleo,Ciudad,Categoria,Sueldo,Publicado,Vencimiento,Descripcion,Nombre_cargo,Enlace
Creative Tours Bolivia & Beyond,697860,"Cochabamba, Bolivia",Turismo y Hotelería ,No Declarado ,31 Diciembre 2018,30 Enero 2019,administrador de base de datos requisitos estudiante o egresado de ing informatica o ing en sistemas habilidad para el manejo de datos buen nivel de ingles gusto por los viajes expedicionarios la fotografia y la innovacion la persona requerida debe ser capaz de disenar y estructurar una cantidad variada de informacion para ser clasificada las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Administrador(a) de Base de Datos,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/697860/Administrador(a)-de-Base-de-Datos.html?searchId=1546400657&page=1
TMX,691080,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,31 Diciembre 2018,30 Enero 2019,empresa de rastreo satelital busca ejecutiva comercialsede santa cruz formacion conocimiento en sistemas informaticos excel word otros capacidad de elaboracion de informes experiencia minima 2 anos en ventas y negociacion busqueda de clientes armado de cartera seguimiento habilidades facilidad para relacionarse con personas  orientacion a resultados contar con principios morales ser responsable sincera y tener compromiso iniciativa propia disciplinada y perseverante autoexigirse para trabajar bajo presion personas interesadas que cuenten con el perfil enviar su curriculum con pretension salarial por trabajopolisbo,Ejecutiva(o) Comercial - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/691080/Ejecutiva(o)-Comercial---Santa-Cruz.html?searchId=1546400657&page=1
CommIT SRL,697707,"Santa Cruz de la Sierra, Bolivia",Informática ,Dependiendo de la Experiencia ,31 Diciembre 2018,30 Enero 2019,buscamos programador j2ee ws restsede santa cruz requisitos alumnos egresados o titulados en informatica yo sistemas debe conocer tomcat yo jboss se valorara conocimientos en fuse debe conocer maven yo ant git yo cvs debe conocer postgres mysql oracle se valorara conocimientos de nosql mongodb cassandra etc debe tener conocimientos basicos de linux se valorara conocimientos de python yo perl ofertamos ambiente laboral estable agradable y desafiante salario acorde a sus responsabilidades las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,"Programador(a) J2EE, WS, Rest - Santa Cruz","https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/697707/Programador(a)-J2EE,-WS,-Rest---Santa-Cruz.html?searchId=1546400657&page=1"
GRUPO EMPRESARIAL VALENCIA S.R.L.,690581,"Cochabamba, Bolivia",Ingeniería ,No Declarado ,31 Diciembre 2018,30 Enero 2019,empresa dedicada a la fabricacion y distribucion de productos farmaceuticos naturales y alimenticios requiere incorporar a su equipo de trabajo unencargado de garantia de calidad  sistemas integrados de gestion requisitos titulo profesional en bioquimica y farmacia ingenieria quimica ingenieria industrial ingenieria de produccion yo ramas afines contar con especialidad o postgrados en sistemas integrados de gestion normativas y certificaciones iso control de calidad inocuidad alimentaria o ramas afines  experiencia minima de 2 anos en funciones en areas de aseguramiento de la calidad conocimiento en gestion de calidad gestion ambiental gestion de seguridad y salud ocupacional solidos conocimientos de sistemas de calidad y buenas practicas de manufactura bpa bpl se valorara experiencia en los sectores de produccion y control de calidad manejo de microsoft office a nivel intermedio disponibilidad inmediata y de tiempo completolas competencias buscadas son responsabilidad  compromiso  proactividad  trabajo en equipo  buena organizacion y planificacion  ganas de superacion y crecimiento profesionallas personas interesadas que cumplen con los requisitos deberan enviar con referencia encargado de garantia de calidad  sistemas integrados de gestion  carta de solicitud hoja de vida y pretension salarial por trabajopolisbo,Encargado(a) de Garantía de Calidad - Sistemas Integrados de Gestión (SIG),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/690581/Encargado(a)-de-Garantía-de-Calidad---Sistemas-Integrados-de-Gestión-(SIG).html?searchId=1546400657&page=1
INDUSTRIAS FERROTODO LTDA.,698135,"La Paz, Bolivia",Administración y Oficina ,No Declarado ,31 Diciembre 2018,28 Enero 2019,industrias ferrotodo empresa lider nacional en produccion comercializacion e importacion de alta calidad esta en la busqueda de un  cobradorsede la paz objetivo del cargomantener la estabilidad de la cartera en mora el menor tiempo posible aplicando mecanismos y herramientas de cobranza como ayuda para recuperar la deuda en el menor tiempo posible funciones principales elaborar una vez por semana su cronograma de visitas a clientes que han entrado al estado de mora critica realizar toda la gestion de la cobranza inicio seguimiento e informe semanal de objetivos realizar confirmaciones de saldos requisitos basicos y conocimientos profesional o tecnico medio en carreras financieras contabilidad administracion experiencia minima de 2 anos en cobranza movilidad propia y licencia de conducir vigente  disponibilidad de viaje conocimiento de excel nivel intermedio las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Cobrador(a) - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698135/Cobrador(a)---La-Paz.html?searchId=1546400657&page=1
Opal Ltda.,698137,"Santa Cruz de la Sierra, Bolivia",Administración y Oficina ,No Declarado ,31 Diciembre 2018,28 Enero 2019,opal ltda empresa lider en distribucion de bebidas alimentos y electrodomesticos requiere incorporar a su equipo de trabajo profesionales de primer nivel para ocupar el cargo de cobradorsede santa cruzrequisitos formacion academica en derecho yo ramas afines egresados o tecnico superior experiencia minima de 1 ano en funciones de cobranzas recuperacion y regularizacion deteccion y reconocimiento de billetes falsos manejo de excel nivel intermedio contar con vehiculo propio atencion al cliente trabajo en equipo contar con garantias reales disponibilidad inmediatalas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Cobrador(a) - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698137/Cobrador(a)---Santa-Cruz.html?searchId=1546400657&page=1
Empresa,698091,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,31 Diciembre 2018,30 Enero 2019,vendedora sede santa cruz requisitos ingeniero comercial o ramas afines experiencia en ventas de inmuebles  conocimientos en planificacion de ventas marketing y seguimiento facilidad de palabra planificacion y organizacion buen manejo de herramientas digitales microsoft office outlook plataformas de ventas ingles intermedio disponibilidad para viajes en el interior del pais disponibilidad de tiempo en caso de atencion a clientes fines de semana automovil propio se valorara experiencia tres  anos como ejecutivo de ventas en el rubro se valorara conocimientos de procedimientos administrativos ofrecemos  horario de 930 a 1730 continuo sueldo basico mas comisiones por ventas buen ambiente de trabajo seguridad social a corto y largo plazo las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Vendedora(or) - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698091/Vendedora(or)---Santa-Cruz.html?searchId=1546400657&page=1
CURTIEMBRE TAURO LTDA.,691738,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Contabilidad y Economía ",No Declarado ,29 Diciembre 2018,28 Enero 2019,auditor financiero yo contador publico formacionauditor financiero yo contador publico experiencia minimados  anos en empresas industriales con cargo de contador yo cargos similares otros conocimientos conocimiento en el area de recursos humanos planillas pagos de aportes afp y cns dominio de microsoft office excel word powerpoint disponibilidad inmediata aptitudes para trabajar bajo presion aptitudes para trabajar en equipo las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Auditor(a) Financiero(a) y/o Contador(a) Público(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/691738/Auditor(a)-Financiero(a)-y-o-Contador(a)-Público(a).html?searchId=1546400657&page=1
CURTIEMBRE TAURO LTDA.,691750,"Santa Cruz de la Sierra, Bolivia",Otros ,No Declarado ,29 Diciembre 2018,28 Enero 2019,ingeniero quimicoformacioningenieria quimicaexperiencia y conocimientos experiencia minima de 2 anos en empresas industriales conocimientos en el area de produccion de detergentes jabones u otras afines al rubro competencias aptitudes de trabajo en equipo y bajo presion habilidades de comunicacion capacidad de organizacion y planificacion compromiso y responsabilidadlas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Ingeniero(a) Químico(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/691750/Ingeniero(a)-Químico(a).html?searchId=1546400657&page=1
DL ONE MANAGEMENT,698092,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,nuestro cliente una importante empresa dedicada a la fabricacion y comercializacion de articulos y accesorios para el hogar desea incorporar a su equipo de trabajo profesionales dinamicos y orientados a resultados para el cargo de vendedores requisitos estudiante o egresad de ing comercial marketing disenador de interiores yo ramas afines  experiencia en ventas minima de 1 ano  manejo intermedio de microsoft office e internet disponibilidad para trabajar tiempo completo y realizar turnos rotativos funciones principales brindar una atencion personalidad a los clientes asesorando sobre los productos y garantizar un servicio oportuno y de calidad cumplir con los objetivos mensuales de ventas  garantizar la adecuada visibilidad de los productos en el punto de venta de acuerdo a la potencialidad de los mismos competencias valoradas capacidad de negociacion trabajo en equipo proactividad excelente atencion al cliente buenas relaciones interpersonales ofrecemos buen ambiente y estabilidad laboral sueldo fijo mas comisiones los interesados enviar su hoja de vida actualizada y carta de presentacion personal incluyendo pretension salarial por trabajopolisbo,Vendedores(as),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698092/Vendedores(as).html?searchId=1546400657&page=1
TECHO S.A.,690743,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,empresa lider en megaproyectos urbanisticos busca incorporar a su equipo de trabajo un profesional para el cargo de oficial de ventas base santa cruz requisitos bachiller en humanidades estudios en carreras comerciales experiencia minima de 1 ano en el area de ventas especialmente en el rubro inmobiliario o productos de consumo masivo manejo de excel intermedio disponibilidad de horarios competencias persuasion comunicacion fluidez verbal capacidad de negociacion resolucion de conflictos orientacion a resultados  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Oficial de Ventas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/690743/Oficial-de-Ventas---Santa-Cruz.html?searchId=1546400657&page=1
TECHO S.A.,690745,"La Paz, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,empresa lider en megaproyectos urbanisticos busca incorporar a su equipo de trabajo un profesional para el cargo de oficial de ventasbase la paz requisitos bachiller en humanidades estudios en carreras comerciales experiencia minima de 1 ano en el area de ventas especialmente en el rubro inmobiliario o productos de consumo masivo manejo de excel intermedio disponibilidad de horarios competencias persuasion comunicacion fluidez verbal capacidad de negociacion resolucion de conflictos orientacion a resultados las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Oficial de Ventas - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/690745/Oficial-de-Ventas---La-Paz.html?searchId=1546400657&page=1
Ferreteria Universal Ltda,698110,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,importante empresa representante de marcas lideres en el mercado requiere incorporar a su equipo comercial profesionales de primer nivel para el cargo deejecutivo de ventassede cochabambarequisitos egresado o lic en ingenieria comercial marketing administracion de empresas ingenieria industrial o ramas afines  experiencia comprobada en ventas de herramientas yo seguridad industrial para la industria no excluyente vehiculo propio funciones principales desarrollar mantener y ampliar la cartera de clientes  cumplir con los objetivos de ventas asignados asesorar a los clientes sobre los productos y garantizar un servicio oportuno y de calidad elaborar informes varioscompetencias valoradas orientacion a resultados habilidades de negociacion  orientacion al cliente internoexterno planificacion y organizacion trabajo en equipobeneficios buen ambiente laboral y estabilidad laboral capacitacion y formacion continua sueldo base  remuneracion competitiva de acuerdo a resultadoslos interesados enviar su hoja de vida actualizada carta de presentacion personal incluyendo pretension salarial por trabajopolisbo,Ejecutivo(a) de Ventas - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698110/Ejecutivo(a)-de-Ventas---Cochabamba.html?searchId=1546400657&page=1
Diaconia,698107,"El Alto, Bolivia",Banca y Finanzas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,institucion financiera de desarrollo requiere incorporar a su equipo de trabajo un supervisor operativo administrativosede de trabajo el alto ce  1232018 mision del puestocoordinar y controlar que todas las operaciones efectuadas en agencia cumplan con las normas politicas y procedimientos internos de la institucion y entes reguladores externos asegurando que la atencion al cliente sea con calidad y calidez entendiendo y compartiendo la vision mision valores y estrategia de diaconia frififd enfocado en valores cristianos formacion y experiencia requerida egresado o titulado de administracion de empresas ingenieria comercial economia contaduria publica o carreras afines dos  anos de experiencia de trabajo en general y 1 ano de experiencia laboral en cargos de supervision o similares en entidades financieras conocimientos requeridos conocimiento de la ley de servicios financieros 393 conocimiento de normativa asfi conocimiento de circulares y normas del banco central de bolivia conocimiento de manejo de material monetario y deteccion de documentacion falsificada competencias necesarias para el cargo trabajo basado en resultados y servicio de calidad capacidad de planificacion y organizacion desarrollar relaciones de colaboracion y trabajo en equipo comunicacion asertiva los interesados por favor enviar su hoja de vida y carta de presentacion indicando pretension salarial por trabajopolisbo,Supervisor(a) Operativo(a) Administrativo(a) - El Alto,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698107/Supervisor(a)-Operativo(a)-Administrativo(a)---El-Alto.html?searchId=1546400657&page=1
INDUSTRIAS FERROTODO LTDA.,694131,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,13 Enero 2019,forma parte del equipo de industrias ferrotodo ltda postula a la posicionvendedor de mostradorsede cochabambaobjetivo del puestoatender al publico en general en mostrador o plataforma de la empresa con el fin de brindar informacion realizar cotizaciones o concretar ventas de productos de la empresaprincipales funciones realizar ventas de mercaderia al contado o bajo la modalidad que corresponda hacer seguimiento de la entrega de mercaderia al cliente proporcionar informacion sobre promociones o nuevos servicios de la empresa  requisitos licenciatura o egresado en ingenieria comercial marketing administracion o ramas afines experiencia minima de 1 ano en ventas y atencion al cliente experiencia en caja y manejo de dinero  conocimiento nivel intermedio de microsoft office se valorara personas con conocimiento comercial en el rubro de la construccion y metalmecanica  presentacion de garantia real se ofrecesueldo fijo mas comisiones las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Vendedor(a) de Mostrador - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/694131/Vendedor(a)-de-Mostrador---Cochabamba.html?searchId=1546400657&page=1
Cazatalentos SRL,689793,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,29 Diciembre 2018,28 Enero 2019,cazatalentos selecciona para prestigiosa empresa industrial lider en su sector un ejecutivo de ventasprincipales funciones  realizar analisis y prospeccion del mercado para detectar oportunidades de negocio visitar y captar nuevos clientes para ofrecer los productos mantener e incrementar la cartera de clientes con el fin de maximizar las ventas y conseguir los objetivos de negocio establecidos crear y presentar propuestas adaptadas a las necesidades de cada cliente negociacion y cierre de contratos conocimiento de la competencia asi como de las tendencias de mercado definiendo y desarrollando las estrategias de venta mas adecuadas requisitos formacion en ingenieria comercial ingenieria industrial administracion de empresas o ramas afines  experiencia minima de 2 anos en ventas disponibilidad inmediata se ofrecesalario fijo y comisioneslas personas interesadas enviar su hoja de vida indicando su pretension salarial por trabajopolisbo ,Ejecutivo(a) de Ventas,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/689793/Ejecutivo(a)-de-Ventas.html?searchId=1546400657&page=1
Laboratorios Bagó de Bolivia S.A.,697611,"El Alto, Bolivia","Marketing y Ventas,Medicina y Salud ",No Declarado ,29 Diciembre 2018,26 Enero 2019,laboratorios bago de bolivia sa requiere incorporar a un profesional de alto nivel para ocupar el cargo de visitador medicosede el alto requisitos del candidato perseverancia y responsabilidad capacidad de trabajo en equipo capacidad para manejar relaciones interpersonales habilidad para negociar persona dinamica y proactiva requisitos del cargo conocimiento del mercado farmaceutico promocion medica especializada capacidad de planificacion y organizacion de rutas orientacion y servicio al cliente capacidad de coordinacion y orientacion al logro compromiso con los resultados desempeno bajo presion estrategico de su entorno de negocio formacion medicina  odontologia  fisioterapia  bioquimica y farmacia se valoraran especializaciones en el area comercial o marketing ofrecemos trabajar en una empresa lider dentro del sector agradable ambiente de trabajo atractivo nivel de remuneracion y beneficios de la empresa posibilidad de desarrollo personal formar parte de una empresa con respaldo internacional  sueldo basico mas comisiones personas interesadas favor enviar hoja de vida con su respectiva pretension salarial por trabajopolisbo,Visitador(a) Médico(a) - El Alto,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/697611/Visitador(a)-Médico(a)---El-Alto.html?searchId=1546400657&page=1
Living Room Muebles,696396,"La Paz, Bolivia",Arquitectura ,De Bs. 3.000 a Bs. 3.999 ,29 Diciembre 2018,28 Enero 2019,nuestro equipo crece y necesitamos incorporar profesionalesdisenador grafico o arquitectos para el area de ventasrequisitos titulados o egresados en diseno grafico diseno de interiores arquitectura con conocimiento en ventas  alta responsabilidad proactividad relaciones humanas y conocimiento de servicio al cliente disponibilidad inmediatase ofrece sueldo base mas comisiones  incentivos por metas alcanzadasinteresados enviar curriculum vitae con fotografia actualizada y pretension salarial por trabajopolisbo,Diseñador(a) Gráfico(a) o Arquitectos(as) para el Área de Ventas,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/696396/Diseñador(a)-Gráfico(a)-o-Arquitectos(as)-para-el-Área-de-Ventas.html?searchId=1546400657&page=1
